record_id_a,person_id,record_id_b
A0424,505,B0432
A0425,506,B0433
A0428,512,B0437
A0429,513,B0438
A0430,514,B0439
A0431,515,B0440
A0434,518,B0441
A0435,519,B0442
A0436,520,B0443
A0437,521,B0444
A0438,522,B0445
A0440,525,B0447
A0441,527,B0449
A0443,530,B0451
A0444,531,B0452
A0445,532,B0453
A0447,534,B0454
A0449,536,B0455
A0450,537,B0456
A0451,538,B0457
A0452,540,B0459
A0453,541,B0460
A0454,542,B0461
A0455,543,B0462
A0456,544,B0463
A0457,545,B0464
A0458,546,B0465
A0459,547,B0466
A0461,549,B0467
A0462,550,B0468
A0463,551,B0469
A0464,552,B0470
A0465,553,B0471
A0466,554,B0472
A0467,556,B0474
A0468,557,B0475
A0470,559,B0476
A0471,560,B0477
A0474,563,B0478
A0475,564,B0479
A0476,565,B0480
A0477,566,B0481
A0478,567,B0482
A0479,568,B0483
A0480,569,B0484
A0481,570,B0485
A0482,571,B0486
A0485,575,B0488
A0486,576,B0489
A0487,577,B0490
A0488,579,B0492
A0489,580,B0493
A0490,581,B0494
A0493,584,B0495
A0494,585,B0496
A0496,588,B0498
A0497,589,B0499
A0498,591,B0501
A0499,592,B0502
A0500,593,B0503
A0501,594,B0504
A0503,596,B0505
A0504,598,B0507
A0505,599,B0508
A0506,600,B0509
A0507,601,B0510
A0508,602,B0511
A0509,603,B0512
A0510,604,B0513
A0511,605,B0514
A0512,609,B0518
A0513,610,B0519
A0514,611,B0520
A0515,612,B0521
A0516,614,B0523
A0517,617,B0526
A0519,619,B0527
A0520,620,B0528
A0521,621,B0529
A0522,622,B0530
A0524,624,B0531
A0525,625,B0532
A0530,630,B0533
A0531,633,B0536
A0532,634,B0537
A0533,635,B0538
A0534,636,B0539
A0535,637,B0540
A0538,641,B0542
A0539,642,B0543
A0540,643,B0544
A0541,644,B0545
A0542,645,B0546
A0543,646,B0547
A0544,647,B0548
A0545,649,B0550
A0546,650,B0551
A0547,651,B0552
A0548,652,B0553
A0549,653,B0554
A0550,655,B0556
A0551,656,B0557
A0552,657,B0558
A0553,658,B0559
A0554,659,B0560
A0555,660,B0561
A0556,662,B0563
A0557,663,B0564
A0558,664,B0565
A0559,666,B0567
A0561,668,B0568
A0563,670,B0569
A0564,672,B0571
A0565,673,B0572
A0566,674,B0573
A0567,675,B0574
A0568,676,B0575
A0569,677,B0576
A0570,678,B0577
A0571,679,B0578
A0572,680,B0579
A0575,685,B0582
A0576,686,B0583
A0577,687,B0584
A0578,688,B0585
A0580,690,B0586
A0581,691,B0587
A0582,692,B0588
A0583,693,B0589
A0586,696,B0590
A0587,697,B0591
A0589,699,B0592
A0590,700,B0593
A0591,701,B0594
A0592,702,B0595
A0593,704,B0597
A0594,705,B0598
A0595,706,B0599
A0596,707,B0600
A0597,708,B0601
A0598,709,B0602
A0599,710,B0603
A0600,711,B0604
A0601,712,B0605
A0602,713,B0606
A0603,715,B0608
A0604,716,B0609
A0605,717,B0610
A0606,718,B0611
A0607,719,B0612
A0608,720,B0613
A0610,722,B0614
A0611,723,B0615
A0612,724,B0616
A0613,725,B0617
A0614,726,B0618
A0615,727,B0619
A0617,729,B0620
A0618,731,B0622
A0621,734,B0623
A0622,735,B0624
A0623,736,B0625
A0624,737,B0626
A0625,738,B0627
A0626,739,B0628
A0627,740,B0629
A0628,744,B0633
A0629,746,B0635
A0630,747,B0636
A0631,748,B0637
A0632,749,B0638
A0633,750,B0639
A0635,752,B0640
A0636,754,B0642
A0637,755,B0643
A0638,756,B0644
A0639,757,B0645
A0640,758,B0646
A0641,759,B0647
A0642,760,B0648
A0644,763,B0650
A0646,765,B0651
A0647,767,B0653
A0648,768,B0654
A0649,769,B0655
A0650,772,B0658
A0652,774,B0659
A0655,778,B0661
A0656,779,B0662
A0657,780,B0663
A0658,781,B0664
A0659,782,B0665
A0660,783,B0666
A0661,784,B0667
A0662,785,B0668
A0663,786,B0669
A0664,787,B0670
A0665,788,B0671
A0667,792,B0674
A0669,794,B0675
A0670,795,B0676
A0672,797,B0677
A0674,799,B0678
A0675,802,B0681
A0676,803,B0682
A0677,804,B0683
A0679,806,B0684
A0680,807,B0685
A0682,809,B0686
A0684,812,B0688
A0685,813,B0689
A0686,814,B0690
A0687,815,B0691
A0688,816,B0692
A0689,818,B0694
A0690,819,B0695
A0691,821,B0697
A0692,822,B0698
A0693,823,B0699
A0695,825,B0700
A0696,826,B0701
A0697,827,B0702
A0698,828,B0703
A0699,829,B0704
A0700,830,B0705
A0701,831,B0706
A0702,832,B0707
A0703,833,B0708
A0704,834,B0709
A0705,835,B0710
A0706,836,B0711
A0707,838,B0713
A0709,840,B0714
A0710,842,B0716
A0711,845,B0719
A0712,846,B0720
A0713,848,B0722
A0715,850,B0723
A0717,852,B0724
A0718,853,B0725
A0719,854,B0726
A0720,855,B0727
A0721,856,B0728
A0722,857,B0729
A0723,858,B0730
A0724,859,B0731
A0725,860,B0732
A0726,861,B0733
A0727,862,B0734
A0728,863,B0735
A0729,864,B0736
A0731,866,B0737
A0732,867,B0738
A0733,868,B0739
A0734,869,B0740
A0735,870,B0741
A0736,871,B0742
A0737,873,B0744
A0738,874,B0745
A0739,875,B0746
A0740,876,B0747
A0741,877,B0748
A0742,879,B0750
A0744,881,B0751
A0745,882,B0752
A0746,883,B0753
A0748,885,B0754
A0749,886,B0755
A0750,887,B0756
A0751,888,B0757
A0752,889,B0758
A0753,890,B0759
A0754,891,B0760
A0756,894,B0762
A0757,895,B0763
A0759,898,B0765
A0760,899,B0766
A0761,900,B0767
A0762,901,B0768
A0765,904,B0769
A0766,905,B0770
A0767,906,B0771
A0768,907,B0772
A0769,908,B0773
A0770,909,B0774
A0774,913,B0775
A0775,914,B0776
A0777,916,B0777
A0778,917,B0778
A0780,919,B0779
A0781,920,B0780
A0784,924,B0782
A0785,926,B0784
A0786,928,B0786
A0787,930,B0788
A0788,931,B0789
A0789,932,B0790
A0790,933,B0791
A0791,934,B0792
A0793,936,B0793
A0794,937,B0794
A0795,938,B0795
A0796,939,B0796
A0797,942,B0799
A0799,944,B0800
A0801,946,B0801
A0802,947,B0802
A0803,948,B0803
A0804,949,B0804
A0805,951,B0806
A0806,952,B0807
A0807,953,B0808
A0808,954,B0809
A0809,955,B0810
A0810,956,B0811
A0811,957,B0812
A0812,959,B0814
A0814,961,B0815
A0815,963,B0817
A0816,964,B0818
A0817,965,B0819
A0819,967,B0820
A0820,968,B0821
A0821,969,B0822
A0823,971,B0823
A0824,972,B0824
A0825,973,B0825
A0826,974,B0826
A0827,975,B0827
A0829,977,B0828
A0830,978,B0829
A0831,979,B0830
A0832,980,B0831
A0833,981,B0832
A0835,983,B0833
A0836,984,B0834
A0837,985,B0835
A0838,986,B0836
A0839,987,B0837
A0840,988,B0838
A0841,989,B0839
A0842,990,B0840
A0843,991,B0841
A0844,993,B0843
A0845,994,B0844
A0846,995,B0845
A0847,997,B0847
A0848,998,B0848
A0849,999,B0849
A0850,1000,B0850
